"Genotype","Sex","Biological.Replicate","Group","ID"
"WT","F",1,"WT_F","WT_F1"
"WT","F",2,"WT_F","WT_F2"
"WT","F",3,"WT_F","WT_F3"
"WT","F",4,"WT_F","WT_F4"
"WT","M",1,"WT_M","WT_M1"
"WT","M",2,"WT_M","WT_M2"
"WT","M",3,"WT_M","WT_M3"
"WT","M",4,"WT_M","WT_M4"
"GBM","F",1,"GBM_F","GBM_F1"
"GBM","F",2,"GBM_F","GBM_F2"
"GBM","F",3,"GBM_F","GBM_F3"
"GBM","F",4,"GBM_F","GBM_F4"
"GBM","F",5,"GBM_F","GBM_F5"
"GBM","M",1,"GBM_M","GBM_M1"
"GBM","M",2,"GBM_M","GBM_M2"
"GBM","M",3,"GBM_M","GBM_M3"
"GBM","M",4,"GBM_M","GBM_M4"
"GBM","M",5,"GBM_M","GBM_M5"
"GBMLE","F",1,"GBMLE_F","GBMLE_F1"
"GBMLE","F",2,"GBMLE_F","GBMLE_F2"
"GBMLE","F",3,"GBMLE_F","GBMLE_F3"
"GBMLE","F",4,"GBMLE_F","GBMLE_F4"
"GBMLE","F",5,"GBMLE_F","GBMLE_F5"
"GBMLE","M",1,"GBMLE_M","GBMLE_M1"
"GBMLE","M",2,"GBMLE_M","GBMLE_M2"
"GBMLE","M",3,"GBMLE_M","GBMLE_M3"
"GBMLE","M",4,"GBMLE_M","GBMLE_M4"
"GBMLE","M",5,"GBMLE_M","GBMLE_M5"
"MLE","F",1,"MLE_F","MLE_F1"
"MLE","F",2,"MLE_F","MLE_F2"
"MLE","F",3,"MLE_F","MLE_F3"
"MLE","F",4,"MLE_F","MLE_F4"
"MLE","M",1,"MLE_M","MLE_M1"
"MLE","M",2,"MLE_M","MLE_M2"
"MLE","M",3,"MLE_M","MLE_M3"
"MLE","M",4,"MLE_M","MLE_M4"
